A;B;C;D;E;F;G;H;I;J;K
0.749330669448701;0.599054415936601;0.322125774886588;0.0151096183815821;0.920714265558228;0.558259007501079;0.187859553675464;0.652195730205313;0.479887098787035;0.425508975518823;0.0672844590510515
0.969574986666482;0.614418368748423;0.53614507209417;0.414411143084544;0.508882769392181;0.018606933881162;0.204847901335477;0.331498536082265;0.392517779530081;0.259671828185956;0.504256754261915
0.927873825124732;0.110637050680373;0.981821450591155;0.856578213500414;0.885149218792799;0.38507751137785;0.242866470526984;0.492290465168213;-;0.369267323931478;0.992654248596998
0.832905268787903;0.698916094889556;0.714251454022706;0.52128331887893;0.101523790606344;0.984580956901436;0.962146814464097;0.145276875561774;-;0.997592137034181;0.104382217016098
0.33248792833518;0.272796162609596;0.832289711408525;0.402368237025491;0.447400292049676;-;0.558371239751911;0.978920368284902;-;0.913119359371241;0.160477721575089
0.576717426216269;0.494117707179287;0.45781400236268;0.860217104820718;0.570401437682293;0.0722987024920045;0.802543438027962;0.791166892384767;-;0.932652178480397;0.947632276509587
0.298396432642259;0.366432489089785;0.832990415959325;0.786158228857762;0.906423135144302;0.177886753569672;0.323603616586607;0.582270794236481;-;0.293729907530707;0.0971933618346971
0.386134406082248;0.68353742647411;0.484418652110562;0.427890307284848;0.613734249361501;0.662171707747194;0.316826819336416;0.812547827630972;-;0.733843478886122;0.273722709741833
0.126681120469668;0.852143278298592;0.404322229637644;0.261703274191344;0.524420703698797;0.471645012105095;0.768037328954163;0.903766181590429;-;0.695167867361233;0.656188256587378
0.246838234777845;0.518381686725225;0.685692348395675;0.896216844823979;0.0351716043610658;0.0841766337678862;0.809858299798697;0.477884734145718;-;0.831268917263946;0.867516839400106
0.889340708120968;0.972436773595983;0.597044273640101;0.612070547270453;0.96028690050597;0.0910196888596145;0.770902039367294;0.709509982122021;0.856787268302924;0.308071974867702;0.478909271341179
0.331859447608881;0.257576229504965;0.458081353073728;0.120204059894134;0.537790670594876;0.450317400737865;0.0827286667783868;0.822043453936935;0.406504539970445;0.926593649895602;0.107689091368695
0.684489571944007;0.880101966840987;0.777726438718484;0.929083158558786;0.739469769918786;0.369209553507092;0.404437902839347;0.0230266155763298;0.516007559028539;0.312091672662947;0.917174273390628
0.0836304113363556;0.518584902974885;0.236870762510292;0.960718429562509;0.281982965000939;0.061027309755754;0.0525780906923979;0.848401759190548;0.762204066128261;0.170150407678055;0.280888093384646
0.773570356323592;0.104399028244693;0.28353898067464;0.997314506180341;0.758618194185792;0.46283730471663;0.961040405717889;0.339751219987049;0.659796679433146;0.663579638158799;0.623854041409505
0.10832882574139;0.211161372037306;0.621443493975206;0.800365328330552;0.799272542087022;0.127933426976978;0.750801825032311;0.385791011006513;0.525150790452478;0.701085589552285;0.805143566718276
0.648871610021153;0.666700733298984;0.155573521604736;0.111434827598653;0.665796132131457;0.481051060550426;0.722682648978328;0.697951564576361;0.235162569446697;0.173464362234181;0.537026802681315
0.0936879545344549;0.705825229290293;0.884547515244981;0.870745447231881;0.46919337660816;0.336323082332376;0.700880634694061;0.875906142031759;0.0193874587113676;0.0399370379839404;0.918375562255691
0.0751628626074897;0.716921877439987;0.725855321524461;0.092074871136142;0.526400869930597;0.665869852691602;0.519492552177721;0.812848554847577;0.301921808275405;0.549670214914231;0.956815216440159
